nohup: ignoring input

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.5                   │ 
 │               http://127.0.0.1:4000               │ 
 │       (bound on host 0.0.0.0 and port 4000)       │ 
 │                                                   │ 
 │ Handlers ............ 97  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 69615 │ 
 └───────────────────────────────────────────────────┘ 

14:23:08 | 200 |   21.354952ms | 192.168.37.204 | GET | /auth/login | -
14:25:23 | 301 |     524.888µs | 192.168.37.146 | GET | / | -
14:25:23 | 200 |   21.941637ms | 192.168.37.146 | GET | /store | -
14:25:23 | 200 |   15.759355ms | 192.168.37.146 | GET | /dist/img/logo.png | -
14:25:23 | 200 |  139.542881ms | 192.168.37.146 | GET | /plugins/fontawesome-free/css/all.min.css | -
14:25:23 | 200 |  179.390201ms | 192.168.37.146 | GET | /plugins/jquery/jquery.min.js | -
14:25:23 | 200 |  131.952179ms | 192.168.37.146 | GET | /plugins/bootstrap/js/bootstrap.bundle.min.js | -
14:25:23 | 200 |  437.982544ms | 192.168.37.146 | GET | /dist/css/adminlte.min.css | -
14:25:24 | 200 |    6.126677ms | 192.168.37.146 | GET | /plugins/fontawesome-free/webfonts/fa-solid-900.woff2 | -
14:25:24 | 200 |     704.702µs | 192.168.37.146 | GET | /favicon.ico | -
14:25:25 | 200 |    4.529329ms | 192.168.37.146 | GET | /plugins/fontawesome-free/webfonts/fa-brands-400.woff2 | -
14:25:25 | 200 |    2.301559ms | 192.168.37.146 | GET | /plugins/fontawesome-free/webfonts/fa-regular-400.woff2 | -
14:25:29 | 200 |   14.375191ms | 192.168.37.146 | GET | /auth/login | -
14:25:29 | 200 |    2.973731ms | 192.168.37.146 | GET | /plugins/icheck-bootstrap/icheck-bootstrap.min.css | -
14:25:29 | 200 |   19.289959ms | 192.168.37.146 | GET | /dist/js/adminlte.min.js | -
14:26:02 | 302 |  234.630943ms | 192.168.37.146 | POST | /auth/login | -
